8001,565.58,576.87,512.9,520.31,765.32,529.59,675.6,9.43,3.9367,10310,29.978,375.99,12.332,172.23,8.7021,140.97,65.98,826.05,733.25,10.072,3.662,10315,19.407,249.33,22.888,336.61,470.9,6.3678,3.9139,10349,67.421,858.34,42.242,566.25,988.47,13.826,3.2501,10211,86.42,13.416
8002,566.58,576.62,512.71,520.3,766.41,529.55,679.01,9.4833,4.2572,10319,30.037,377,12.254,171.63,8.7479,141.34,66.486,842.1,731.61,10.058,3.9367,10318,19.464,250.79,22.855,337.12,468.37,6.3307,3.8681,10342,67.95,861.85,43.846,574.18,990.28,13.84,3.4103,10215,91.209,13.488
8003,567.5,576.15,512.58,520.31,767.29,529.38,682.14,9.4904,3.9139,10323,30.082,376.34,12.29,171.97,8.7494,141.44,66.784,856.76,734.99,10.076,3.2959,10323,19.409,248.38,22.868,337.5,466.97,6.3469,4.2572,10342,67.678,865.82,39.781,529.94,991.21,13.846,3.3187,10215,93.968,13.46
8004,568.31,575.74,512.49,520.39,767.46,529.32,682.36,9.4818,3.8681,10314,30.018,375.36,12.259,171.73,8.7311,139.94,66.33,858.68,733.69,10.063,3.3416,10328,19.453,249.21,23.002,339.5,468.9,6.3612,3.9139,10343,67.667,869.27,41.221,541.51,988.8,13.781,3.2501,10221,104.47,13.396
8005,568.68,575.54,512.5,520.48,767.06,529.29,676.84,9.4818,4.7378,10317,30.026,376.55,12.243,171.51,8.7448,140.36,66.118,857.92,735.95,10.069,2.8381,10335,19.409,248.64,22.903,337.69,466.07,6.3046,4.0283,10352,67.357,862.21,38.738,537.39,988.49,13.754,3.2501,10227,103.96,13.381
8006,568.86,575.31,512.71,520.65,767.53,529.47,678.65,9.4885,4.28,10329,30.06,375.89,12.274,171.95,8.7234,139.86,65.995,857.15,734.24,10.126,2.7237,10341,19.556,252.06,23.016,339.43,465.08,6.2803,4.1656,10370,68.062,870.92,42.572,542.94,992.67,13.854,2.9297,10226,106.75,13.403
8007,568.9,575.37,513.1,520.95,767.49,529.45,684.04,9.468,3.9367,10339,30.09,375.47,12.273,171.89,8.7311,140.02,65.863,854.87,734.19,10.148,2.6322,10344,19.376,247.34,23.004,339.56,467.06,6.287,4.4861,10348,68.007,873.67,41.528,537.71,992.01,13.853,3.1128,10226,108.62,13.447
8008,568.87,575.54,513.41,521.16,767.27,529.38,680.03,9.4713,4.2572,10346,30.007,376.42,12.24,171.33,8.7097,139.67,65.535,835.92,732.84,10.124,3.0441,10347,19.343,245.69,23.042,340.86,468.37,6.3198,4.1427,10338,67.903,873.45,40.682,547.54,987.18,13.808,3.2501,10223,103.86,13.515
8009,568.95,575.79,513.49,521.55,766.43,529.43,680.33,9.5403,4.3945,10348,29.985,376.18,12.228,171.27,8.7219,139.7,66.703,852.7,733.17,10.075,3.2501,10355,19.299,246.38,23.088,342.07,463.82,6.266,3.9367,10363,67.551,867.94,40.935,538.82,987.45,13.793,3.5706,10211,101.86,13.394
8010,569.29,575.96,514.17,522.02,766.33,529.46,680.14,9.5541,4.074,10357,29.993,374.14,12.192,171.29,8.7066,139.73,66.835,861.65,730.98,10.071,3.2501,10362,19.215,245.59,23.055,341.59,466.37,6.2375,3.7765,10384,67.63,868.94,39.166,536.12,990.39,13.822,3.2272,10208,101.42,13.367
8011,569.64,576.01,514.64,522.38,766.11,529.52,681.67,9.5651,3.9367,10363,30.013,374.43,12.273,171.53,8.7188,139.88,67.115,861.96,732.32,10.056,2.9297,10360,19.232,244.99,23.051,340.86,467.77,6.2375,3.7079,10389,68.503,874.34,40.924,528.04,990.72,13.838,3.3416,10197,101.67,13.423
8012,570.09,575.99,514.96,522.74,766.3,529.68,678.35,9.5722,4.0969,10362,30.037,375.89,12.329,172.37,8.7097,139.46,66.249,855.37,730.12,10.068,3.1128,10356,19.171,243.78,22.89,339.34,471.75,6.344,3.7079,10388,68.154,871.14,40.726,549.44,984.9,13.723,3.3187,10194,102.09,13.453
8013,570.47,576.09,515.34,523.15,766.59,529.57,678.46,9.4456,4.0054,10355,30.179,378.64,12.307,172.29,8.7006,140.12,66.127,852.95,727.57,10.07,3.2501,10350,19.087,243.31,22.844,338.99,468.76,6.3897,4.3487,10375,68.196,864.96,41.001,565.62,985.78,13.749,3.4103,10195,101.96,13.462
8014,570.63,576.29,515.56,523.37,766.1,529.57,678.32,9.3648,3.9367,10354,30.179,377.71,12.349,172.29,8.7082,140.25,65.975,852.81,729.96,10.067,3.2501,10349,19.155,244.2,22.932,340.42,466.7,6.2965,4.4632,10359,67.672,855.42,44.022,573.54,988.91,13.806,3.4789,10187,101.86,13.499
8015,570.68,576.68,515.96,523.54,766.58,529.44,674.07,9.4033,3.9367,10357,30.024,374.81,12.342,172.29,8.7005,140.12,66.617,853.61,731.2,10.027,2.7695,10351,19.116,243.91,22.965,341.88,467.85,6.3164,3.9139,10366,68.694,867.66,43.308,552.14,987.92,13.802,3.3187,10173,102.09,13.526
8016,570.66,577.31,516.37,523.68,766.25,529.53,674.73,9.4247,4.5776,10364,29.951,375.6,12.28,171.99,8.7158,140.39,66.345,860.26,728.12,10.01,2.5635,10358,18.788,238.74,22.927,341.37,467,6.3354,4.0283,10385,68.28,871.03,41.386,541.83,988.71,13.846,3.2501,10179,101.96,13.471
